jaar,kans_op_regen_totaal,kans_op_regen_week,kans_op_regen_weekend,meer_kans_op_regen_weekend,dag_kans_op_regen_totaal,dag_kans_op_regen_week,dag_kans_op_regen_weekend,dag_meer_kans_op_regen_weekend
2008,0.47,0.48,0.45,nee,0.41,0.43,0.36,nee
2009,0.49,0.49,0.49,nee,0.43,0.43,0.44,ja
2010,0.47,0.44,0.55,ja,0.41,0.38,0.47,ja
2011,0.45,0.44,0.48,ja,0.38,0.38,0.38,ja
2012,0.51,0.52,0.49,nee,0.43,0.43,0.43,nee
2013,0.49,0.50,0.47,nee,0.42,0.43,0.38,nee
2014,0.46,0.46,0.44,nee,0.39,0.41,0.36,nee
2015,0.50,0.49,0.53,ja,0.41,0.41,0.42,ja
2016,0.51,0.48,0.57,ja,0.40,0.40,0.41,ja
2017,0.49,0.48,0.52,ja,0.42,0.40,0.47,ja
2018,0.45,0.47,0.41,nee,0.38,0.39,0.35,nee
2019,0.50,0.49,0.55,ja,0.41,0.40,0.42,ja
2020,0.53,0.54,0.51,nee,0.45,0.46,0.43,nee
2021,0.53,0.52,0.55,ja,0.46,0.45,0.49,ja
